Country,Rank,GDP_Billion_USD,GDP_per_Capita_PPP,Population_Million
Switzerland,1,885.0,92980,8.85
Japan,2,4210.0,50207,125.0
United States,3,27400.0,81695,335.0
Canada,4,2140.0,61582,40.1
Australia,5,1720.0,69115,26.6
Sweden,6,593.0,70207,10.5
Germany,7,4460.0,69338,84.5
United Kingdom,8,3340.0,58906,68.4
New Zealand,9,253.0,54110,5.22
Denmark,10,404.0,76688,5.95
Norway,11,486.0,104460,5.52
France,12,3030.0,61157,68.2
Netherlands,13,1120.0,78215,17.9
Singapore,14,501.0,141500,5.92
Italy,15,2250.0,58755,58.8
China,16,17800.0,24558,1410.0
United Arab Emirates,17,504.0,83903,9.52
South Korea,18,1710.0,54033,51.7
Spain,19,1580.0,52779,48.4
Finland,20,300.0,65061,5.58
Austria,21,516.0,73751,9.13
Iceland,22,31.0,77567,0.394
Belgium,23,632.0,70456,11.8
Ireland,24,546.0,127623,5.26
Qatar,25,236.0,121125,2.72
Greece,26,238.0,41187,10.4
Luxembourg,27,85.8,143341,0.669
Thailand,28,515.0,23423,71.8
Portugal,29,287.0,48759,10.5
Brazil,30,2170.0,20584,216.0
Turkey,31,1110.0,44151,85.3
Saudi Arabia,32,1070.0,54992,36.9
India,33,3550.0,10176,1430.0
Mexico,34,1790.0,25602,128.0
Egypt,35,396.0,18817,113.0
Russia,36,2020.0,44104,144.0
Poland,37,811.0,49464,36.7
Malaysia,38,400.0,37248,34.3
Morocco,39,141.0,9743,37.8
South Africa,40,378.0,15847,60.4
Indonesia,41,1370.0,15613,278.0
Argentina,42,641.0,29363,46.7
Costa Rica,43,86.5,27952,5.21
Vietnam,44,430.0,15194,98.9
Philippines,45,437.0,10755,117.0
Israel,46,510.0,53434,9.76
Croatia,47,82.7,45910,3.85
Cyprus,48,32.2,57100,1.26
Peru,49,268.0,16717,34.4
Czechia,50,331.0,53817,10.9
Dominican Republic,51,121.0,25611,11.3
Chile,52,336.0,33284,19.6
Kuwait,53,162.0,56386,4.31
Hungary,54,212.0,45942,9.59
Sri Lanka,55,84.4,14455,22.0
Colombia,56,364.0,21548,52.1
Panama,57,83.4,39695,4.47
Romania,58,351.0,47903,19.1
Kenya,59,107.0,6324,55.1
Tunisia,60,48.5,13682,12.5
