WEO Country Code,ISO,WEO Subject Code,Country,Subject Descriptor,Subject Notes,Units,Scale,Country/Series-specific Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,Estimates Start After
193,AUS,NGDP_R,Australia,"Gross domestic product, constant prices","Expressed in billions of national currency units; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,"Source: National Statistics Office. Australian Bureau of Statistics (via Haver Analytics) Latest actual data: 2024. Data refer to calendar years National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Reporting in calendar year: Yes. Annual CY data are reconstructed from quarterly data Start/end months of reporting year: January/December Base year: 2022. The base period is 2022Q3-2023Q2 Chain-weighted: Yes, from before 1980. Annually-reweighted Primary domestic currency: Australian dollar Data last updated: 04/10/2025",713.275,742.713,743.179,739.659,786.598,829.518,849.825,891.404,929.318,972.376,986.901,977.211,1002.533,1041.842,1092.628,1124.872,1169.56,1224.68,1281.889,1338.764,1380.251,1416.147,1475.047,1519.528,1582.03,1629.954,1672.66,1745.241,1790.517,1825.693,1869.858,1921.941,1994.764,2039.027,2091.528,2140.476,2198.144,2250.465,2313.275,2358.07,2311.974,2437.087,2538.031,2590.206,2617.099,2659.868,2715.141,2777.494,2842.123,2907.289,2973.347,2024
193,AUS,NGDP_RPCH,Australia,"Gross domestic product, constant prices","Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",Percent change,Units,"See notes for:  Gross domestic product, constant prices (National currency).",2.894,4.127,0.063,-0.474,6.346,5.456,2.448,4.893,4.253,4.633,1.494,-0.982,2.591,3.921,4.875,2.951,3.973,4.713,4.671,4.437,3.099,2.601,4.159,3.016,4.113,3.029,2.62,4.339,2.594,1.965,2.419,2.785,3.789,2.219,2.575,2.34,2.694,2.38,2.791,1.936,-1.955,5.412,4.142,2.056,1.038,1.634,2.078,2.296,2.327,2.293,2.272,2024
193,AUS,NGDP,Australia,"Gross domestic product, current prices","Expressed in billions of national currency units. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,"Source: National Statistics Office. Australian Bureau of Statistics (via Haver Analytics) Latest actual data: 2024. Data refer to calendar years National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Reporting in calendar year: Yes. Annual CY data are reconstructed from quarterly data Start/end months of reporting year: January/December Base year: 2022. The base period is 2022Q3-2023Q2 Chain-weighted: Yes, from before 1980. Annually-reweighted Primary domestic currency: Australian dollar Data last updated: 04/10/2025",142.977,163.933,183.852,198.894,224.127,248.837,270.509,304.056,345.735,389.24,414.937,416.439,432.498,454.578,482.971,511.434,542.398,573.074,606.132,638.384,687.428,730.489,782.371,830.186,894.326,964.21,1039.95,1133.005,1235.359,1264.784,1364.463,1468.212,1515.871,1569.453,1613.987,1639.517,1697.37,1801.198,1894.246,1993.426,1973.593,2202.565,2482.838,2620.923,2722.065,2818.239,2945.565,3085.038,3229.983,3380.686,3538.743,2024
193,AUS,NGDPD,Australia,"Gross domestic product, current prices","Values are based upon GDP in national currency converted to U.S. dollars using market exchange rates (yearly average). Exchange rate projections are provided by country economists for the group of other emerging market and developing countries. Exchanges rates for advanced economies are established in the WEO assumptions for each WEO exercise. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",162.924,188.41,187.049,179.478,197.136,174.385,181.477,213.1,271.088,308.402,324.128,324.436,318.005,309.303,353.372,379.227,424.663,426.401,381.498,411.968,400.278,378.114,425.516,541.155,658.742,736.505,783.447,950.093,1056.559,1000.828,1254.623,1515.507,1570.139,1519.9,1456.939,1233.921,1262.655,1381.11,1417.162,1386.277,1362.613,1655.843,1725.461,1742.461,1796.805,1771.681,1841.002,1914.821,1995.441,2083.608,2181.788,2024
193,AUS,PPPGDP,Australia,"Gross domestic product, current prices","These data form the basis for the country weights used to generate the World Economic Outlook country group composites for the domestic economy.   The IMF is not a primary source for purchasing power parity (PPP) data. WEO weights have been created from primary sources and are used solely for purposes of generating country group composites. For primary source information, please refer to one of the following sources: the Organization for Economic Cooperation and Development, the World Bank, or the Penn World Tables.  For further information see Box A2 in the Statistical Appendix of the October 2024 WEO, Box 1.1 in the October 2020 World Economic Outlook, ""Revised Purchasing Power Parity Weights"" in the July 2014 WEO Update, Box A2 in the April 2004 World Economic Outlook, Box A1 in the May 2000 World Economic Outlook, and Annex IV in the May 1993 World Economic Outlook for summaries of the revised PPP-based weights; and Box 1.2 in the September 2003 World Economic Outlook for a discussion on the measurement of global growth. See also Anne Marie Gulde and Marianne Schulze-Ghattas, Purchasing Power Parity Based Weights for the World Economic Outlook, in Staff Studies for the World Economic Outlook (Washington: IMF, December 1993), pp. 106-23.",Purchasing power parity; international dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",152.12,173.384,184.214,190.521,209.924,228.379,238.681,256.562,276.907,301.099,317.033,324.539,340.536,362.276,388.049,407.875,431.844,459.994,486.893,515.691,543.715,570.416,603.374,633.84,677.656,720.078,761.733,816.319,853.63,875.769,907.855,952.396,1006.887,1046.747,1092.4,1128.341,1169.751,1219.041,1288.25,1366.059,1379.014,1554.734,1734.565,1833.927,1897.774,1980.022,2065.34,2151.649,2247.631,2341.261,2439.274,2024
193,AUS,NGDP_D,Australia,"Gross domestic product, deflator",The GDP deflator is derived by dividing current price GDP by constant price GDP and is considered to be an alternate measure of inflation. Data are expressed in the base year of each country's national accounts.,Index,Units,"See notes for:  Gross domestic product, constant prices (National currency) Gross domestic product, current prices (National currency).",20.045,22.072,24.739,26.89,28.493,29.998,31.831,34.11,37.203,40.03,42.044,42.615,43.141,43.632,44.203,45.466,46.376,46.794,47.284,47.685,49.805,51.583,53.04,54.634,56.53,59.156,62.173,64.92,68.995,69.277,72.971,76.392,75.992,76.971,77.168,76.596,77.218,80.037,81.886,84.536,85.364,90.377,97.825,101.186,104.011,105.954,108.487,111.073,113.647,116.283,119.015,2024
193,AUS,NGDPRPC,Australia,"Gross domestic product per capita, constant prices",GDP is expressed in constant national currency per person. Data are derived by dividing constant price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",48188.572,49385.225,48609.089,47770.842,50174.392,52169.087,52657.387,54371.684,55690.863,57412.287,57478.994,56229.476,57101.179,58797.715,61063.073,62080.344,63805.508,66163.141,68529.618,70762.151,72109.524,73048.247,75236.614,76638.731,78919.972,80247.67,81088.653,83042.965,83374.384,83496.043,84332.421,85335.414,87001.134,87520.239,88472.873,89243.835,90143.048,90894.76,91993.244,92399.168,90203.318,94565.723,96454.889,96106.847,96492.115,96906.115,97746.927,98806.006,99906.222,100985.107,102054.972,2023
193,AUS,NGDPRPPPPC,Australia,"Gross domestic product per capita, constant prices",GDP is expressed in constant international dollars per person. Data are derived by dividing constant price purchasing-power parity (PPP) GDP by total population.,Purchasing power parity; 2021 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",30741.788,31505.19,31010.056,30475.298,32008.638,33281.149,33592.658,34686.29,35527.857,36626.036,36668.592,35871.464,36427.565,37509.866,38955.046,39604.012,40704.576,42208.623,43718.312,45142.551,46002.104,46600.961,47997.024,48891.501,50346.814,51193.816,51730.319,52977.067,53188.495,53266.108,53799.673,54439.53,55502.172,55833.334,56441.065,56932.898,57506.549,57986.102,58686.877,58945.835,57544.998,60327.984,61533.173,61311.141,61556.922,61821.032,62357.426,63033.063,63734.943,64423.215,65105.733,2023
193,AUS,NGDPPC,Australia,"Gross domestic product per capita, current prices",GDP is expressed in current national currency per person. Data are derived by dividing current price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",9659.476,10900.402,12025.181,12845.547,14296.284,15649.557,16761.433,18546.079,20718.721,22982.014,24166.721,23962.222,24633.749,25654.703,26991.523,28225.433,29590.598,30960.231,32403.737,33742.635,35913.835,37680.369,39905.81,41871.161,44613.682,47471.037,50415.592,53911.233,57523.774,57843.492,61538.613,65189.555,66114.335,67364.925,68272.606,68357.125,69606.953,72749.17,75329.494,78110.872,77001.141,85465.62,94357.344,97246.569,100362.199,102676.022,106042.323,109746.498,113540.238,117428.613,121461.226,2023
193,AUS,NGDPDPC,Australia,"Gross domestic product per capita, current prices",GDP is expressed in current U.S. dollars per person. Data are derived by first converting GDP in national currency to U.S. dollars and then dividing it by total population.,U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",11007.11,12527.968,12234.339,11591.576,12574.63,10967.197,11244.812,12998.143,16245.405,18209.046,18877.81,18668.311,18112.564,17455.939,19748.718,20929.06,23167.547,23036.266,20394.834,21775.12,20912.038,19503.999,21703.958,27293.622,32861.496,36260.401,37980.615,45207.836,49198.059,45771.767,56584.708,67289.469,68481.215,65237.984,61629.37,51446.422,51779.836,55782.112,56357.044,54320.185,53163.316,64251.284,65574.135,64652.153,66247.96,64547.098,66277.318,68117.43,70143.677,72374.44,74886.083,2023
